thread_num,max_ok_num,start_mid,end_mid,info_or_fans
19,200,3600,,info
5,200,800,,info
18,200,3400,,info
1,200,0,,info
6,200,1000,,info
4,200,600,,info
2,200,200,,info
5,200,800,,info
6,200,1000,,fans
8,200,1400,,info
6,200,1000,,info
3,200,400,,info
8,200,1400,,info
16,200,3000,,info
7,200,1200,,info
17,200,3200,,info
1,200,0,,info
19,200,3600,,fans
11,200,2000,,info
9,200,1600,,info
7,200,1200,,fans
16,200,3000,,fans
17,200,3200,,fans
1,200,0,,fans
8,200,1400,,info
1,200,0,,info
17,200,3200,,info
8,200,1400,,fans
12,200,2200,,info
15,200,2800,,info
5,200,800,,info
11,200,2000,,info
6,200,1000,,info
3,200,400,,info
4,200,600,,info
13,200,2400,,info
20,200,3800,,fans
12,200,2200,,fans
15,200,2800,,fans
3,200,400,,fans
6,200,1000,,fans
12,200,2200,,info
13,200,2400,,info
11,200,2000,,fans
13,200,2400,,info
2,200,200,,info
5,200,800,,info
12,200,2200,,info
4,200,600,,info
18,200,3400,,info
7,200,1200,,info
6,200,1000,,info
19,200,3600,,info
10,200,1800,,info
13,200,2400,,fans
2,200,200,,fans
5,200,800,,fans
6,200,1000,,fans
19,200,3600,,fans
3,200,400,,info
13,200,2400,,info
2,200,200,,info
17,200,3200,,info
4,200,600,,info
3,200,400,,fans
13,200,2400,,fans
4,200,600,,fans
9,200,1600,,info
6,200,1000,,info
19,200,3600,,info
17,200,3200,,info
2,200,200,,info
14,200,2600,,info
13,200,2400,,info
7,200,1200,,info
8,200,1400,,info
11,200,2000,,info
18,200,3400,,info
2,200,200,,fans
14,200,2600,,fans
13,200,2400,,fans
8,200,1400,,fans
11,200,2000,,fans
9,200,1600,,info
17,200,3200,,info
13,200,2400,,info
18,200,3400,,info
13,200,2400,,fans
18,200,3400,,fans
1,200,0,,info
9,200,1600,,info
15,200,2800,,info
4,200,600,,info
1,200,0,,info
8,200,1400,,info
2,200,200,,info
11,200,2000,,info
17,200,3200,,info
6,200,1000,,info
10,200,1800,,info
1,200,0,,fans
8,200,1400,,fans
4,200,600,,fans
6,200,1000,,fans
11,200,2000,,info
10,200,1800,,info
8,200,1400,,info
1,200,0,,info
8,200,1400,,info
1,200,0,,info
10,200,1800,,info
14,200,2600,,info
9,200,1600,,info
15,200,2800,,info
5,200,800,,info
17,200,3200,,info
3,200,400,,info
7,200,1200,,info
11,200,2000,,info
13,200,2400,,info
10,200,1800,,fans
9,200,1600,,fans
14,200,2600,,fans
3,200,400,,fans
7,200,1200,,fans
17,200,3200,,fans
15,200,2800,,info
12,200,2200,,info
10,200,1800,,info
9,200,1600,,info
14,200,2600,,info
7,200,1200,,info
3,200,400,,info
15,200,2800,,fans
12,200,2200,,fans
10,200,1800,,fans
9,200,1600,,fans
14,200,2600,,fans
14,200,2600,,info
9,200,1600,,info
15,200,2800,,info
3,200,400,,info
2,200,200,,info
16,200,3000,,info
9,200,1600,,info
13,200,2400,,fans
4,200,600,,info
8,200,1400,,info
19,200,3600,,info
6,200,1000,,info
7,200,1200,,info
3,200,400,,info
13,200,2400,,info
9,200,1600,,info
6,200,1000,,fans
9,200,1600,,info
6,200,1000,,info
9,200,1600,,fans
7,200,1200,,fans
19,200,3600,,info
14,200,2600,,info
17,200,3200,,info
8,200,1400,,info
10,200,1800,,info
11,200,2000,,info
15,200,2800,,info
6,200,1000,,info
13,200,2400,,info
14,200,2600,,fans
11,200,2000,,fans
4,200,600,,info
1,200,0,,info
17,200,3200,,info
11,200,2000,,info
4,200,600,,fans
4,200,600,,info
16,200,3000,,info
47,200,9200,,info
2,200,200,,info
26,200,5000,,info
38,200,7400,,info
20,200,3800,,info
43,200,8400,,info
40,200,7800,,info
1,200,0,,info
30,200,5800,,info
17,200,3200,,info
14,200,2600,,info
11,200,2000,,info
50,200,9800,,info
23,200,4400,,info
18,200,3400,,info
21,200,4000,,info
45,200,8800,,info
22,200,4200,,info
35,200,6800,,info
33,200,6400,,info
46,200,9000,,info
9,200,1600,,info
27,200,5200,,info
32,200,6200,,info
19,200,3600,,info
8,200,1400,,info
24,200,4600,,info
6,200,1000,,info
48,200,9400,,info
28,200,5400,,info
39,200,7600,,info
7,200,1200,,info
3,200,400,,info
5,200,800,,fans
13,200,2400,,info
10,200,1800,,info
47,200,9200,,fans
2,200,200,,fans
16,200,3000,,fans
38,200,7400,,fans
20,200,3800,,fans
40,200,7800,,fans
12,200,2200,,info
30,200,5800,,fans
17,200,3200,,fans
14,200,2600,,fans
11,200,2000,,fans
21,200,4000,,fans
45,200,8800,,fans
22,200,4200,,fans
35,200,6800,,fans
33,200,6400,,fans
27,200,5200,,fans
46,200,9000,,fans
19,200,3600,,fans
8,200,1400,,fans
1,200,0,,info
24,200,4600,,fans
6,200,1000,,fans
39,200,7600,,fans
7,200,1200,,fans
23,200,4400,,info
50,200,9800,,info
48,200,9400,,info
25,200,4800,,info
5,200,800,,info
43,200,8400,,info
10,200,1800,,fans
18,200,3400,,info
2,200,200,,info
38,200,7400,,info
20,200,3800,,info
13,200,2400,,info
40,200,7800,,info
17,200,3200,,info
14,200,2600,,info
32,200,6200,,info
21,200,4000,,info
22,200,4200,,info
33,200,6400,,info
35,200,6800,,info
27,200,5200,,info
19,200,3600,,info
12,200,2200,,info
1,200,0,,fans
24,200,4600,,info
42,200,8200,,info
39,200,7600,,info
7,200,1200,,info
50,200,9800,,fans
6,200,1000,,info
25,200,4800,,fans
5,200,800,,fans
43,200,8400,,fans
30,200,5800,,info
18,200,3400,,fans
31,200,6000,,info
38,200,7400,,fans
20,200,3800,,fans
13,200,2400,,fans
47,200,9200,,info
32,200,6200,,fans
14,200,2600,,fans
21,200,4000,,fans
33,200,6400,,fans
37,200,7200,,info
19,200,3600,,fans
40,200,7800,,info
12,200,2200,,fans
1,200,0,,info
24,200,4600,,fans
8,200,1400,,info
7,200,1200,,fans
50,200,9800,,info
10,200,1800,,info
25,200,4800,,info
6,200,1000,,info
2,200,200,,info
30,200,5800,,fans
18,200,3400,,info
22,200,4200,,info
31,200,6000,,fans
38,200,7400,,info
47,200,9200,,fans
27,200,5200,,info
32,200,6200,,info
33,200,6400,,info
12,200,2200,,info
14,200,2600,,info
24,200,4600,,info
7,200,1200,,info
20,200,3800,,info
19,200,3600,,info
40,200,7800,,fans
43,200,8400,,info
25,200,4800,,fans
8,200,1400,,info
2,200,200,,fans
13,200,2400,,info
30,200,5800,,info
18,200,3400,,fans
22,200,4200,,fans
27,200,5200,,fans
32,200,6200,,fans
38,200,7400,,fans
12,200,2200,,fans
45,200,8800,,info
24,200,4600,,fans
7,200,1200,,fans
37,200,7200,,info
40,200,7800,,info
43,200,8400,,fans
2,200,200,,info
30,200,5800,,fans
18,200,3400,,info
22,200,4200,,info
32,200,6200,,info
6,200,1000,,info
19,200,3600,,info
45,200,8800,,fans
27,200,5200,,info
24,200,4600,,info
38,200,7400,,info
37,200,7200,,fans
43,200,8400,,info
2,200,200,,fans
30,200,5800,,info
12,200,2200,,info
32,200,6200,,fans
19,200,3600,,fans
45,200,8800,,info
27,200,5200,,fans
24,200,4600,,fans
13,200,2400,,info
37,200,7200,,info
30,200,5800,,fans
12,200,2200,,fans
40,200,7800,,info
43,200,8400,,info
24,200,4600,,info
19,200,3600,,info
37,200,7200,,fans
40,200,7800,,fans
45,200,8800,,info
37,200,7200,,info
19,200,3600,,info
12,200,2200,,info
40,200,7800,,info
37,200,7200,,fans
19,200,3600,,fans
9,200,1600,,info
37,200,7200,,info
9,200,1600,,fans
35,200,6800,,fans
31,200,6000,,info
